from , to, weight, time
115_123,38_115,0.9635216610262811,8000.0
A76,108_113,0.9969125488280578,8000.0
A76,76_108,0.9800340340623476,8000.0
34_121,34_116,-0.49701337766414344,8000.0
34_121,A34,0.04298828867940061,8000.0
108_113,A76,0.9986141405925834,8000.0
108_113,76_108,1.0031977668447296,8000.0
A38,38_124,0.7463189687695655,8000.0
A38,38_115,0.36549090622363656,8000.0
A14,14_126,0.834448154959765,8000.0
A56,56_112,1.0017060750813975,8000.0
A56,56_127,0.6101055624733215,8000.0
A24,24_114,0.009278352180713639,8000.0
A24,24_107,0.9888764723212827,8000.0
A94,94_106,0.003514066475745524,8000.0
56_112,A56,0.8687862501161899,8000.0
56_112,112_120,0.7794977073550988,8000.0
A21,21_119,0.9929562836256859,8000.0
A84,84_110,0.9879065285778825,8000.0
38_124,A38,0.060342110507368464,8000.0
14_126,A14,0.611716688062716,8000.0
38_115,115_123,0.9814387928293142,8000.0
38_115,A38,0.7160387630102665,8000.0
99_102,A99,0.9814030919371816,8000.0
94_106,A94,0.9254118637445784,8000.0
21_119,A21,0.999,8000.0
24_114,A24,-0.0057490561345752925,8000.0
24_114,24_107,-0.2736830631164009,8000.0
A30,30_129,-0.013312451976631699,8000.0
104_122,11_118,-0.010017081556843475,8000.0
104_122,A11,0.05213184724192407,8000.0
104_122,11_104,0.03348003457877874,8000.0
34_116,34_121,-0.4215135912117138,8000.0
34_116,A34,0.9885178728431211,8000.0
11_118,104_122,0.0724596023114477,8000.0
11_118,A11,0.9930339579379814,8000.0
11_118,11_104,-0.00776047075440823,8000.0
A85,85_125,0.9414476027867517,8000.0
56_127,A56,0.09290210036928269,8000.0
A49,49_117,0.9975865150797124,8000.0
31_105,A31,0.9880458163774719,8000.0
76_108,A76,0.9962957109815609,8000.0
76_108,108_113,0.9948750050000723,8000.0
A34,34_121,0.0639579919943305,8000.0
A34,34_116,0.9975961993605846,8000.0
24_107,A24,0.9919127664358891,8000.0
24_107,24_114,0.01481686151890191,8000.0
A11,104_122,0.004146311438529392,8000.0
A11,11_118,0.9829538772658739,8000.0
A11,11_104,0.9883192022883484,8000.0
112_120,56_112,0.10127384136786528,8000.0
84_110,A84,0.9928560769280285,8000.0
A99,99_102,0.9977575278286339,8000.0
49_117,A49,0.9954477942114641,8000.0
30_129,A30,0.33124398120492415,8000.0
85_125,A85,0.9879808778305342,8000.0
11_104,104_122,0.5082680462901995,8000.0
11_104,11_118,0.9939143697651666,8000.0
11_104,A11,0.9913672544595625,8000.0
A31,31_105,0.9918615278290669,8000.0
