from , to, weight, time
A46,A61,-0.995120184504951,5001.0
A18,A14,-0.9936369106890169,5001.0
A58,A52,-0.9888301251732596,5001.0
A84,A45,-0.9539233010772756,5001.0
A44,A80,-0.999,5001.0
A63,A95,-0.9881841751679309,5001.0
A78,A6,-0.9648436315825984,5001.0
A5,A23,-0.9928664738671775,5001.0
A87,A99,-0.9663739992923318,5001.0
A65,A0,-0.9963085996878136,5001.0
A73,A83,-0.9423150502425882,5001.0
A29,A52,-0.9874812670280112,5001.0
A80,A44,-0.9967790325116433,5001.0
A80,A91,-0.9761977404798149,5001.0
A28,A46,-0.9434666359656717,5001.0
A57,A10,-0.970754066814507,5001.0
A27,A60,-0.9920090929441113,5001.0
A47,A12,-0.9852903170492534,5001.0
A22,A98,-0.9818883944835447,5001.0
A4,A83,-0.9934905812145113,5001.0
A24,A39,-0.9782800433397082,5001.0
A0,A70,-0.9934719796359157,5001.0
A6,A26,-0.9921680510107674,5001.0
A23,A11,-0.9663403480490664,5001.0
A91,A81,-0.9687027936177581,5001.0
A31,A30,-0.8027492162823507,5001.0
A16,A24,-0.98277682094522,5001.0
A70,A57,-0.9723307672814703,5001.0
A14,A6,-0.9355015600350841,5001.0
A95,A86,-0.8714246644083978,5001.0
A90,A17,-0.9637395161316279,5001.0
A50,A71,-0.9847647046215636,5001.0
