from , to, weight
A50,A0,0.15102428138959034,5000.0
A50,A65,0.23896541675511562,5000.0
A19,A76,0.32336162458402856,5000.0
A41,A79,0.18391647391879878,5000.0
A41,A56,0.1435453242559632,5000.0
14_117,A14,0.9430658773616964,5000.0
A17,A91,0.09118687716805746,5000.0
A17,A80,0.03604744143746923,5000.0
A89,A69,0.18166360554738903,5000.0
A89,A72,0.003933671412055381,5000.0
A91,A17,0.09118687716805718,5000.0
A75,A36,0.2986437919142061,5000.0
A75,A1,0.02812647255789025,5000.0
A74,74_100,0.9597720226846462,5000.0
A62,A13,0.0550984686281865,5000.0
A62,A25,0.11756417096633577,5000.0
A62,A15,0.5098359419316414,5000.0
A36,A75,0.2986437919142059,5000.0
A36,A1,0.2599720427908393,5000.0
A57,A21,0.23569349959011168,5000.0
A57,A11,0.2627173981084087,5000.0
61_113,A82,0.1121098580449596,5000.0
61_113,A61,0.8978500845055188,5000.0
A80,A17,0.03604744143747024,5000.0
A80,60_102,0.21742206183265092,5000.0
A80,A60,0.2595112811472899,5000.0
A79,A41,0.1839164739187987,5000.0
A79,A56,0.12477507695993541,5000.0
A39,39_110,0.9320885253963987,5000.0
A39,A6,0.2629251121409291,5000.0
A39,A70,0.23692265178317914,5000.0
39_110,A39,0.9320885253963987,5000.0
39_110,A6,0.22544615189433515,5000.0
39_110,A70,0.18860633355315576,5000.0
A43,45_106,0.16309631394626334,5000.0
A43,A45,0.1957143503586037,5000.0
34_111,A34,0.9091952225755554,5000.0
A52,52_112,0.8938336077521096,5000.0
A82,61_113,0.11210985804495957,5000.0
A82,A61,0.11234938732299152,5000.0
A93,93_116,0.9165442064103408,5000.0
A93,A51,0.05970196720663298,5000.0
A93,A47,0.009754444888279368,5000.0
A93,A3,0.011130674265245397,5000.0
A69,A89,0.181663605547389,5000.0
A69,A72,0.17550273573983086,5000.0
A69,58_105,0.015643653264008198,5000.0
A69,3_101,0.01756611279869838,5000.0
A69,A3,0.0375539680643636,5000.0
60_102,A80,0.21742206183265067,5000.0
60_102,98_109,0.016565298188291527,5000.0
60_102,A98,0.015503616971748672,5000.0
60_102,A60,0.9516235366834137,5000.0
A71,A10,0.09562686454573344,5000.0
93_116,A93,0.916544206410341,5000.0
93_116,A51,0.02252794632290253,5000.0
