from , to, time
A86,A86,10000.0
A89,A89,10000.0
A89,89_139,10000.0
A7,A7,10000.0
A92,A92,10000.0
64_112,64_112,10000.0
A54,A54,10000.0
3_145,3_145,10000.0
3_145,A3,10000.0
47_104,47_104,10000.0
47_104,A47,10000.0
A42,A42,10000.0
100_148,100_148,10000.0
100_148,99_100,10000.0
A10,A10,10000.0
A44,A44,10000.0
A44,44_134,10000.0
41_126,41_126,10000.0
41_126,126_141,10000.0
41_126,A41,10000.0
A27,A27,10000.0
A51,A51,10000.0
A68,A68,10000.0
A90,A90,10000.0
A80,A80,10000.0
A80,80_108,10000.0
88_118,88_118,10000.0
A8,A8,10000.0
45_124,45_124,10000.0
118_123,118_123,10000.0
A39,A39,10000.0
A39,39_121,10000.0
A39,121_144,10000.0
86_130,86_130,10000.0
A30,A30,10000.0
A30,30_138,10000.0
A30,138_140,10000.0
A65,A65,10000.0
126_141,41_126,10000.0
126_141,126_141,10000.0
126_141,A41,10000.0
73_117,73_117,10000.0
114_122,114_122,10000.0
A59,A59,10000.0
19_120,19_120,10000.0
40_105,40_105,10000.0
A47,47_104,10000.0
A47,A47,10000.0
A0,A0,10000.0
99_100,100_148,10000.0
99_100,99_100,10000.0
A62,A62,10000.0
39_121,A39,10000.0
39_121,39_121,10000.0
39_121,121_144,10000.0
A17,A17,10000.0
A50,A50,10000.0
A19,A19,10000.0
A52,A52,10000.0
44_134,A44,10000.0
44_134,44_134,10000.0
80_108,A80,10000.0
80_108,80_108,10000.0
A77,A77,10000.0
A56,A56,10000.0
89_139,A89,10000.0
89_139,89_139,10000.0
A32,A32,10000.0
A32,136_143,10000.0
A32,32_136,10000.0
A31,A31,10000.0
121_144,A39,10000.0
121_144,39_121,10000.0
121_144,121_144,10000.0
74_119,74_119,10000.0
7_135,7_135,10000.0
A12,A12,10000.0
A12,12_142,10000.0
A12,12_132,10000.0
A12,132_149,10000.0
12_142,A12,10000.0
12_142,12_142,10000.0
12_142,12_132,10000.0
12_142,132_149,10000.0
A36,A36,10000.0
1_110,1_110,10000.0
1_110,A1,10000.0
1_110,110_147,10000.0
A78,A78,10000.0
136_143,A32,10000.0
136_143,136_143,10000.0
136_143,32_136,10000.0
12_132,A12,10000.0
12_132,12_142,10000.0
12_132,12_132,10000.0
12_132,132_149,10000.0
A60,A60,10000.0
A3,3_145,10000.0
A3,A3,10000.0
A1,1_110,10000.0
A1,A1,10000.0
A1,110_147,10000.0
A99,A99,10000.0
100_133,100_133,10000.0
100_133,133_146,10000.0
A96,A96,10000.0
A74,A74,10000.0
74_101,74_101,10000.0
35_114,35_114,10000.0
35_114,114_137,10000.0
A49,A49,10000.0
A22,A22,10000.0
110_147,1_110,10000.0
110_147,A1,10000.0
110_147,110_147,10000.0
30_138,A30,10000.0
30_138,30_138,10000.0
30_138,138_140,10000.0
A38,A38,10000.0
A41,41_126,10000.0
A41,126_141,10000.0
A41,A41,10000.0
A55,A55,10000.0
A73,A73,10000.0
32_136,A32,10000.0
32_136,136_143,10000.0
32_136,32_136,10000.0
A26,A26,10000.0
A15,A15,10000.0
A91,A91,10000.0
114_137,35_114,10000.0
114_137,114_137,10000.0
133_146,100_133,10000.0
133_146,133_146,10000.0
A6,A6,10000.0
A58,A58,10000.0
A95,A95,10000.0
A20,A20,10000.0
7_102,7_102,10000.0
A35,A35,10000.0
A34,A34,10000.0
138_140,A30,10000.0
138_140,30_138,10000.0
138_140,138_140,10000.0
A43,A43,10000.0
A43,43_129,10000.0
A97,A97,10000.0
43_129,A43,10000.0
43_129,43_129,10000.0
89_103,89_103,10000.0
A87,A87,10000.0
A4,A4,10000.0
A33,A33,10000.0
A24,A24,10000.0
A53,A53,10000.0
88_128,88_128,10000.0
132_149,A12,10000.0
132_149,12_142,10000.0
132_149,12_132,10000.0
132_149,132_149,10000.0
