from , to, time
A35,A35,4000.0
A51,A51,4000.0
A51,51_111,4000.0
A9,A9,4000.0
A27,A27,4000.0
A54,A54,4000.0
20_112,20_112,4000.0
20_112,A20,4000.0
64_108,64_108,4000.0
64_108,108_118,4000.0
64_108,A64,4000.0
A86,A86,4000.0
A19,A19,4000.0
A31,A31,4000.0
A24,A24,4000.0
A88,A88,4000.0
A88,88_119,4000.0
A93,A93,4000.0
A92,A92,4000.0
A97,A97,4000.0
78_110,78_110,4000.0
78_110,A78,4000.0
61_103,61_103,4000.0
61_103,A61,4000.0
A43,A43,4000.0
A37,A37,4000.0
108_118,64_108,4000.0
108_118,108_118,4000.0
108_118,A64,4000.0
A11,A11,4000.0
53_107,53_107,4000.0
53_107,53_116,4000.0
53_107,A53,4000.0
53_107,107_114,4000.0
A81,A81,4000.0
A57,A57,4000.0
A21,A21,4000.0
A40,A40,4000.0
A79,A79,4000.0
A14,A14,4000.0
98_101,98_101,4000.0
A2,A2,4000.0
95_104,95_104,4000.0
95_104,A95,4000.0
A0,A0,4000.0
A0,0_115,4000.0
51_111,A51,4000.0
51_111,51_111,4000.0
A49,A49,4000.0
A70,A70,4000.0
A77,A77,4000.0
A60,A60,4000.0
A17,A17,4000.0
A84,A84,4000.0
53_116,53_107,4000.0
53_116,53_116,4000.0
53_116,A53,4000.0
53_116,107_114,4000.0
A85,A85,4000.0
A53,53_107,4000.0
A53,53_116,4000.0
A53,A53,4000.0
A53,107_114,4000.0
47_113,47_113,4000.0
47_113,A47,4000.0
A18,A18,4000.0
A15,A15,4000.0
12_105,12_105,4000.0
12_105,A12,4000.0
A61,61_103,4000.0
A61,A61,4000.0
A41,A41,4000.0
A78,78_110,4000.0
A78,A78,4000.0
A95,95_104,4000.0
A95,A95,4000.0
A82,A82,4000.0
A4,A4,4000.0
A83,A83,4000.0
A32,A32,4000.0
A64,64_108,4000.0
A64,108_118,4000.0
A64,A64,4000.0
A45,A45,4000.0
A45,45_102,4000.0
A23,A23,4000.0
A55,A55,4000.0
0_115,A0,4000.0
0_115,0_115,4000.0
A3,A3,4000.0
A36,A36,4000.0
A36,36_117,4000.0
A16,A16,4000.0
A12,12_105,4000.0
A12,A12,4000.0
A30,A30,4000.0
A73,A73,4000.0
A47,47_113,4000.0
A47,A47,4000.0
A62,A62,4000.0
A38,A38,4000.0
A66,A66,4000.0
A74,A74,4000.0
A72,A72,4000.0
A48,A48,4000.0
A20,20_112,4000.0
A20,A20,4000.0
A71,A71,4000.0
107_114,53_107,4000.0
107_114,53_116,4000.0
107_114,A53,4000.0
107_114,107_114,4000.0
A67,A67,4000.0
A68,A68,4000.0
A75,A75,4000.0
A63,A63,4000.0
A87,A87,4000.0
36_117,A36,4000.0
36_117,36_117,4000.0
A80,A80,4000.0
A80,80_106,4000.0
A44,A44,4000.0
A76,A76,4000.0
A90,A90,4000.0
A94,A94,4000.0
A56,A56,4000.0
A5,A5,4000.0
A22,A22,4000.0
A98,A98,4000.0
88_119,A88,4000.0
88_119,88_119,4000.0
A99,A99,4000.0
A42,A42,4000.0
A34,A34,4000.0
A59,A59,4000.0
A29,A29,4000.0
80_106,A80,4000.0
80_106,80_106,4000.0
A89,A89,4000.0
A1,A1,4000.0
45_102,A45,4000.0
45_102,45_102,4000.0
